06-01-23_19-50-27-782 - Logging Started
19-57-39-345 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-57-42-346 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-57-45-334 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-57-48-425 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-57-51-431 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-57-54-422 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-57-57-409 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-58-00-421 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-58-03-420 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-58-06-431 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-58-09-426 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-58-12-417 - (STATS) -------- AIs:[20] - WcBlocks:[134] - AiReq:[20] Targ:[27] Bloc:[1] Aim:[28] CCast:[0] RndCast[1] TopCast[0]
19-58-15-407 - (STATS) -------- AIs:[20] - WcBlocks:[134] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-58-18-413 - (STATS) -------- AIs:[20] - WcBlocks:[134] - AiReq:[24] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-58-21-422 - (STATS) -------- AIs:[20] - WcBlocks:[134] - AiReq:[27] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-58-24-414 - (STATS) -------- AIs:[20] - WcBlocks:[134] - AiReq:[27] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-58-27-409 - (STATS) -------- AIs:[20] - WcBlocks:[134] - AiReq:[27] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-58-30-425 - (STATS) -------- AIs:[20] - WcBlocks:[134] - AiReq:[27] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-58-33-428 - (STATS) -------- AIs:[20] - WcBlocks:[134] - AiReq:[27] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-58-36-417 - (STATS) -------- AIs:[20] - WcBlocks:[134] - AiReq:[27] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-58-39-420 - (STATS) -------- AIs:[20] - WcBlocks:[134] - AiReq:[27] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-58-42-420 - (STATS) -------- AIs:[20] - WcBlocks:[134] - AiReq:[27] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-58-45-407 - (STATS) -------- AIs:[20] - WcBlocks:[134] - AiReq:[27] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-58-48-430 - (STATS) -------- AIs:[20] - WcBlocks:[134] - AiReq:[27] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-58-51-420 - (STATS) -------- AIs:[20] - WcBlocks:[134] - AiReq:[27] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
